iter	TotalF1	MultiClass
238	0.8839848972	0.3284644229
239	0.8844141635	0.3282069284
240	0.8846113831	0.3276825346
241	0.8846282272	0.3274019002
242	0.884409166	0.3268658446
243	0.8855611985	0.3262961473
244	0.8855869331	0.3258843078
245	0.8863903607	0.3252770483
246	0.8864886916	0.3250460588
247	0.8869874831	0.3244706869
248	0.8873072339	0.3238510762
249	0.8876115066	0.3235680914
250	0.8878385949	0.3230404134
251	0.8877239737	0.3226673113
252	0.8869932963	0.3223265944
253	0.8875223696	0.322084024
254	0.8876294739	0.3218672126
255	0.8877351443	0.3216621044
256	0.8877281609	0.3213997635
257	0.8881580141	0.3210203456
258	0.8893453924	0.3203171499
259	0.8890237175	0.3197834529
260	0.8895466094	0.3193308494
261	0.8896600445	0.318896674
262	0.889971256	0.3186188452
263	0.8902813355	0.3183277147
264	0.8896432074	0.3180347766
265	0.8898753929	0.3176216373
266	0.8899795247	0.3173483803
267	0.88996654	0.3170052499
268	0.8900680525	0.316588687
269	0.8905068514	0.3160164937
270	0.8903965443	0.3154376721
271	0.8902849613	0.3150508262
272	0.890925646	0.3147230839
273	0.8907069881	0.3141970344
274	0.891111293	0.3138649478
275	0.890998085	0.3134354249
276	0.891415305	0.313014164
277	0.8915115183	0.3125782364
278	0.8920571212	0.3122437895
279	0.8917430403	0.3117888385
280	0.8920503235	0.3113135387
281	0.892265651	0.3108223478
282	0.8923938709	0.3101916582
283	0.892609091	0.3096093896
284	0.8930224142	0.3093642657
285	0.8926044838	0.3091170272
286	0.8927051117	0.3088930932
287	0.8929206705	0.3087295652
288	0.8931305958	0.3082737858
289	0.8936731571	0.307895355
290	0.8939732372	0.3072178075
291	0.8940633256	0.3068879164
292	0.8940608025	0.3063690361
293	0.8944790359	0.3060491181
294	0.8944790359	0.3058673888
295	0.8947906446	0.3055165332
296	0.8951240401	0.3048226526
297	0.895543904	0.304430108
298	0.8957498049	0.3042476406
299	0.8962781698	0.3037027185
300	0.8963917126	0.3033397716
301	0.8966021425	0.3028020807
302	0.896586961	0.3023285414
303	0.8967978908	0.3021104216
304	0.8967948685	0.3018908629
305	0.8970024186	0.3016302559
306	0.8974409162	0.3008882224
307	0.8981631731	0.3006036162
308	0.8983779139	0.3001226339
309	0.8983831804	0.2997635275
310	0.8989105635	0.2993714807
311	0.8992167929	0.29917807
312	0.8994312213	0.2987849051
313	0.8992198508	0.2984084697
314	0.8997382183	0.2981993366
315	0.8999579478	0.2977997525
316	0.8997478318	0.2972653718
317	0.9000554498	0.2970689921
318	0.9004738629	0.2966582024
319	0.9009045416	0.2963771721
320	0.9006968415	0.295841727
321	0.9007977885	0.2953722158
322	0.9012124808	0.2949678436
323	0.9014236544	0.2945104343
324	0.9013223462	0.2940616949
325	0.9017540042	0.2938836945
326	0.901537472	0.2936688633
327	0.9020692917	0.2931628341
328	0.902806841	0.2927123397
329	0.902488689	0.2924270031
330	0.9025930223	0.2921713196
331	0.9027123907	0.2917323589
332	0.9032320321	0.291532832
333	0.9035381936	0.2912333242
334	0.9040641081	0.2908373519
335	0.9039533428	0.2903838025
336	0.9040604077	0.2898853375
337	0.9043806116	0.289422291
338	0.9045880878	0.289238163
339	0.9049005709	0.2890408524
340	0.904597596	0.2886446183
341	0.9045890412	0.2882909613
342	0.9047973831	0.2879448987
343	0.9049030466	0.2877575584
344	0.9046994045	0.2873954871
345	0.9053241597	0.2870171815
346	0.90573939	0.2864792968
347	0.9063742521	0.2858080102
348	0.9064759902	0.2856142855
349	0.9062567032	0.285209194
350	0.9064706257	0.2849338255
351	0.9068891103	0.2845345605
352	0.9065762132	0.2843347041
353	0.9067818599	0.2840571842
354	0.9068851447	0.2838627614
355	0.9070949872	0.2837546534
356	0.9079304074	0.2831438824
357	0.9084530606	0.282795946
358	0.9087663613	0.2823669015
359	0.9086615402	0.2820318713
360	0.9086663039	0.2816727859
361	0.9089735356	0.2814458554
362	0.9096021138	0.2811404479
363	0.9098137536	0.2809614419
364	0.9103321753	0.2806580118
365	0.9106488171	0.2805291775
366	0.9107553626	0.2803483006
367	0.9113843851	0.2801942721
368	0.9112782808	0.2798117974
369	0.9111761935	0.2796694333
370	0.9112860075	0.2793539635
371	0.911379631	0.2792179242
372	0.9117987667	0.2788951589
373	0.9116842988	0.2787179616
374	0.912106096	0.2783458191
375	0.9121013675	0.2780127421
376	0.9122018368	0.2776566021
377	0.9123037561	0.2775243864
378	0.9121971136	0.2771798967
379	0.9126078592	0.2768710159
380	0.912500608	0.2766491985
381	0.912713068	0.2764924122
382	0.9127083008	0.2761018103
383	0.9128191098	0.2758364815
384	0.9129269391	0.2755232847
385	0.9129269391	0.2753758132
386	0.9129257782	0.2753014021
387	0.9133408216	0.2748888032
388	0.9135428645	0.2745826782
389	0.9136449978	0.274444681
390	0.9135463498	0.274162178
391	0.9134384301	0.274038824
392	0.9133405736	0.2738773321
393	0.9142841308	0.2735495062
394	0.9147061995	0.2732054485
395	0.9146024204	0.2728743199
396	0.914486047	0.2726838971
397	0.9147120244	0.2724673446
398	0.9151057512	0.2723324109
399	0.9149207507	0.2720347144
400	0.9151251871	0.2716096776
401	0.9151264169	0.2714786562
402	0.9156557626	0.2711128039
403	0.9162828815	0.2709605392
404	0.9161882292	0.2708033872
405	0.9157664015	0.2704946346
406	0.9159833464	0.2702077662
407	0.9169186462	0.2697994616
408	0.9172346347	0.2695131394
409	0.9174416656	0.2693898127
410	0.9176471748	0.2691933024
411	0.9178629132	0.2688080739
412	0.9178641366	0.2684681371
413	0.9179754475	0.2681340351
414	0.9180809883	0.2680220665
415	0.9180809883	0.267786772
416	0.9181849839	0.2675542368
